UserID,PlayerID,ScenarioID,ScenarioDescription,ChoiceDescription,OutcomeDescription
gFDOAZhpYNaMGblQ1i22Rv2iQf82,583eeb525a4ed514e863358e1d5b11b9,SC013,"Your parents give you a toy that’s supposed to entertain you. But the toy is... weird. How do you deal with it?","Shove it in your mouth because that’s what you do with everything.","It’s squishy and oddly satisfying. They won’t take it away now."
gFDOAZhpYNaMGblQ1i22Rv2iQf82,583eeb525a4ed514e863358e1d5b11b9,SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","Go for the 'accident' route and make them come to you instead.","They catch on immediately and give you a disapproving look, but offer you a new potty-training reward anyway."
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC069,"Your friend's birthday is coming up, and you still haven't figured out what to do. What's your move?","Show up empty-handed but with a really good excuse.","They **don't buy it**, and now you're the bad friend."
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC025,"Your friend dares you to do something ridiculous for a chance at internet fame. The camera is rolling—what do you do?","Attempt an extreme stunt.","You fail miserably and end up in a 'fails compilation.'"
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC014,"It’s time for potty training, and you’re not sure what all the fuss is about. How do you approach this momentous task?","Refuse to sit on the potty and act like it’s beneath you.","The adults start running after you, offering rewards, and you act like you’re the one calling the shots."
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC083,"You volunteer to help at a community event. How does it go?","Help out wherever needed and go with the flow.","You make new connections and feel good about helping."
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC021,"Your math teacher hands out a surprise test. The first question looks fine, but by question three, it's asking you to 'solve for X in an alternate dimension.'","Copy from the smartest student.","You copy wrong and fail."
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC023,"Your teacher assigns a group project, and luck is not on your side—you get the team that barely does any work. The deadline is closing in, and you're stuck with the choice of how to handle it.","Try to motivate them with threats and speeches.","The group listens and actually does their part. Success!"
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC024,"The biggest school dance of the year is coming up, and everyone is talking about it. Do you make your move, or avoid the awkward social battlefield?","Show up in the most ridiculous outfit possible.","Your outfit becomes legendary, and people admire your confidence."
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC026,"You walk into class, and your teacher casually announces a surprise test. Your brain screams betrayal. What’s the game plan?","Plead for extra time due to 'a family emergency.'","The teacher buys it. You get an extra day!"
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC064,"Something in your house **mysteriously stops working**. What’s your next move?","Call a professional and accept your financial fate.","They find **ten other things wrong**, and now you’re spiraling."
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC028,"Your school is putting on a play, and auditions are open. Do you go for it?","Ignore the whole thing. Not your scene.","You avoid the drama but feel like you missed out."
jn4nbdJFarM4kej7hQcs9ffgcME2,a2bc968c0f264ed4bbd9de42c58111e8,SC063,"You casually post something on social media, and it **blows up overnight**. Now what?","Do nothing and pretend you didn’t see it.","It fades away naturally, no harm done."
