ScenarioID,ScenarioDescription,RequiredTrait,AgeRange,ChoiceID,ChoiceDescription,RequiredTrait,QuizID,OutcomeID,OutcomeDescription,Impact,ResultTrait
SC001,"Your baby brain, barely functional, manages to retain a single blurry moment. What’s the first thing you remember?","None","AGE13",SC001C1,"A warm and motherly embrace","None","None",SC001C2O1,"You were wrapped in a luxury-brand baby blanket. Even as an infant, you had standards.","I03","T001"
SC001,"Your baby brain, barely functional, manages to retain a single blurry moment. What’s the first thing you remember?","None","AGE13",SC001C1,"A warm and motherly embrace","None","None",SC001C2O2,"A rough but loving hand held you. Pretty sure you also smelled like cows. ","I05","T002"
SC001,"Your baby brain, barely functional, manages to retain a single blurry moment. What’s the first thing you remember?","None","AGE13",SC001C2,"A soothing voice singing to you","None","None",SC001C3O3,"Your mom sang you lullabies, and for a brief moment, you knew peace.","I07","T002"
SC001,"Your baby brain, barely functional, manages to retain a single blurry moment. What’s the first thing you remember?","None","AGE13",SC001C2,"A soothing voice singing to you","None","None",SC001C3O4,"The voice was soothing, but the exhaustion behind it was real, because whoever was singing dozed off before you did.","I09","T003"
SC001,"Your baby brain, barely functional, manages to retain a single blurry moment. What’s the first thing you remember?","None","AGE13",SC001C3,"A bright light overhead that made you squint","None","None",SC001C4O5,"A fluorescent light hummed with mediocre illumination. You immediately understood that life was a series of compromises.","I02","T003"
SC001,"Your baby brain, barely functional, manages to retain a single blurry moment. What’s the first thing you remember?","None","AGE13",SC001C3,"A bright light overhead that made you squint","None","None",SC001C4O6,"The bulb flickered like it was in a horror movie. Great, you were born into budget anxiety. ","I04","T004"
SC001,"Your baby brain, barely functional, manages to retain a single blurry moment. What’s the first thing you remember?","None","AGE13",SC001C4,"The rumbling of your hungry stomach","None","None",SC001C5O7,"A nanny immediately swooped in with warm milk. VIP treatment since day one.","I06","T001"
SC001,"Your baby brain, barely functional, manages to retain a single blurry moment. What’s the first thing you remember?","None","AGE13",SC001C4,"The rumbling of your hungry stomach","None","None",SC001C5O8,"You wailed dramatically. It worked… eventually. You made a mental note to keep using this tactic.","I08","T004"
SC005,"You’re at a fancy family gathering where the champagne flows like water (though you’re stuck with juice). Your parents are showing you off like a prized racehorse. What do you do?","None","AGE8",SC005C1,"Gather the other kids and lead them in a game of 'Who Can Yell the Loudest Without Getting Scolded'","None","None",SC005C2O1,"This is merely the groundwork for your future empire. You’re a Natural Leader—someone has to boss people around, and it might as well be you.","I05","T005"
SC005,"You’re at a fancy family gathering where the champagne flows like water (though you’re stuck with juice). Your parents are showing you off like a prized racehorse. What do you do?","None","AGE8",SC005C2,"Point at the shiniest toy in the room and demand it like it’s your birthright","None","None",SC005C3O2,"You’ve discovered the joy of materialism early. That toy is now yours, and so is the trait Materialist. Why settle for less when you can have it all (and then some)?","I06","T006"
SC005,"You’re at a fancy family gathering where the champagne flows like water (though you’re stuck with juice). Your parents are showing you off like a prized racehorse. What do you do?","None","AGE8",SC005C3,"Eavesdrop on the adults talking about stocks and nod like you understand","None","None",SC005C4O3,"You’ve mastered the art of pretending to know what’s going on. You’re a Mastermind—future Wall Street wolf or con artist, take your pick!","I07","T016"
SC005,"You’re at a fancy family gathering where the champagne flows like water (though you’re stuck with juice). Your parents are showing you off like a prized racehorse. What do you do?","None","AGE8",SC005C4,"Flit around the room, charming everyone with your adorable babbling and winning smile","None","None",SC005C5O4,"You’ve charmed the socks off everyone, from Great Aunt Mildred to the family dog, like a true Social Butterfly—life’s a party, and you’re the host!","I08","T014"
