Key,Name,Description,
"T001","Silver Spoon","Born into luxury, you’ve never had to experience the horror of public transport or store-brand snacks."
"T002","Wooden Spoon","Raised in the countryside, where hard work builds character, fresh air is free, and the Wi-Fi signal is a myth."
"T003","Copper Spoon","A middle-class life—never too rich, never too poor, just financially stable enough to have mild existential crises about taxes."
"T004","Dirt Spoon","Your childhood was a masterclass in survival. Budgeting wasn’t a choice; it was a daily battle, and thrift stores were your kingdom."
"T005","Natural Leader","People follow you—sometimes willingly, sometimes out of fear."
"T006","Materialist","You believe happiness comes in two forms: cash and credit."
"T007","Hard Worker","You grind so hard even coffee is worried about you."
"T008","Free Spirit","Rules are just suggestions, and deadlines are just a myth."
"T009","Virtuous Advocate","You fight for justice, even if it means debating a toddler over candy."
"T010","Smooth Talker","You could sell sand in the desert and make a profit."
"T011","Opportunist","If there's a loophole, you’ll find it—and probably monetize it."
"T012","Survivor","You’ve seen things. You’ve done things. And you still refuse to pay full price."
"T013","Curious Learner","You ask ‘why’ so much that Google is considering hiring you."
"T014","Social Butterfly","You talk so much even Siri needs a break."
"T015","Old Soul","You reminisce about ‘the good old days’…even if you’re 12."
"T016","Mastermind","You have a plan for everything—except what to eat for dinner."
"T017","Path of Political Science","Master the fine art of saying everything and nothing at the same time. Perfect for debating, negotiating, and never actually answering a question."
"T018","Path of Economics","Study the fascinating world of money, where supply and demand dictate everything—except your personal finances, which remain a mystery."
"T019","Path of Medicine","Understand the human body inside and out, except your own, because you’ll be too busy to get a checkup."
"T020","Path of Photography","Capture the world through a lens while contemplating whether life itself is just one long exposure."
"T021","Path of Laws","Drown in legal documents, Latin phrases, and loopholes so complex they could be considered modern art."
"T022","Path of Communication","Learn the art of making people listen, or at least pretend to, while secretly scrolling through their phones."
"T023","Path of History","Study the grand mistakes of the past so that humanity can ignore them and make even grander ones."
"T024","Path of Psychology","Analyze human behavior until you start diagnosing yourself and wondering if everyone is secretly a textbook case."
"T025","Path of Biology","Unravel the mysteries of life, where everything is either eating, reproducing, or decomposing."
"T026","Path of Public Relations","Become a master of spin, turning PR disasters into ‘exciting opportunities for growth’—even when the ship is sinking."
"T027","Path of Philosophy","Question everything—existence, morality, and whether a hotdog is truly a sandwich."
"T028","Path of Criminology","Study criminal behavior and forensic science while accidentally making your Google search history deeply incriminating."
"T029","Path of Business","Speak in buzzwords, network aggressively, and learn to say 'synergy' without laughing."
"T030","Path of Computer Science","Spend years mastering code, only to be defeated by a missing semicolon at 3 AM."
"T031","Path of Media Studies","Analyze pop culture, dissect memes, and convince your family that watching TV is academic research."
"T032","Path of Arts","Turn your creativity into masterpieces, deadlines into stress, and your soul into an abstract concept."
"T033","Path of Writing","Rewrite the same sentence ten times, delete it, and question your entire existence before doing it all over again."
"T034","Path of Sociology","Study the intricate patterns of society, then realize no one actually follows them."
"T035","Path of Freelancing","Enjoy the freedom of self-employment while experiencing the thrill of not knowing when your next paycheck will arrive."
"T036","Path of Nepotism","Why struggle when you can inherit power? Embrace the fine art of leadership-by-birthright."
"T037","Path of Agriculture","Wake up with the sun, work with your hands, and realize that plants are just as stubborn as people."
"T038","Path of Pedagogy","Learn how to teach, only to discover that students specialize in the art of not listening."
"T039","Path of Craftsmanship","Shape, carve, and forge wonders with your hands—because sometimes the best things in life don’t have a Wi-Fi connection."
"T040","Council Member","Begin your political journey by sitting through endless meetings, nodding strategically, and perfecting the art of vague promises."
"T041","Senator","Command greater influence, master the filibuster, and learn how to passionately argue for things you won’t vote for."
"T042","Prime Minister","Rule a nation, navigate scandals, and give inspiring speeches while secretly wondering if you left the stove on."
"T043","Junior Broker","Start your finance career by fetching coffee, crunching numbers, and pretending to understand the stock market."
"T044","Senior Broker","Now you’re making real money—mostly for others, but hey, at least the stress ulcers are free!"
"T045","Hedge Fund Manager","Wield immense financial power, speak in cryptic investment jargon, and pray that your bets don’t tank the economy."
"T046","Medical Intern","Survive sleepless nights, endless rounds, and a steady diet of vending machine food."
"T047","Resident Doctor","Juggle patients, paperwork, and your last shred of sanity as you inch closer to becoming a real doctor."
"T048","Renowned Surgeon","Cutting-edge skills, life-changing procedures, and a schedule so packed you forget what weekends are."
"T049","Freelance Photographer","Take stunning shots, hustle for gigs, and learn to survive on exposure—both literal and figurative."
"T050","Magazine Photographer","Your work graces glossy pages, your deadlines are brutal, and your camera is now an extension of your soul."
