QuizID,QuizDescription,OutcomeID,OutcomeDescription,Impact,ResultTrait,QuestionID,QuestionDescription,AnswerID,AnswerDescription,IsCorrect
QZ001,"A quiz on political concepts and government structure.",Failure,"Your entrance essay is just a collection of political memes. The admissions board is not impressed.","I06","None",,,,
QZ001,"A quiz on political concepts and government structure.",Success,""You now start every argument with, ‘Well, technically…’"","I11","T017",,,,
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q1,"What is the main purpose of a constitution?",QZ001Q2A1,"To outline the fundamental principles of a government",TRUE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q1,"What is the main purpose of a constitution?",QZ001Q2A2,"To list the names of all past rulers",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q1,"What is the main purpose of a constitution?",QZ001Q2A3,"To provide daily laws for citizens",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q1,"What is the main purpose of a constitution?",QZ001Q2A4,"To determine who wins political debates",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q2,"Which political ideology advocates for minimal government intervention?",QZ001Q3A5,"Libertarianism",TRUE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q2,"Which political ideology advocates for minimal government intervention?",QZ001Q3A6,"Socialism",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q2,"Which political ideology advocates for minimal government intervention?",QZ001Q3A7,"Communism",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q2,"Which political ideology advocates for minimal government intervention?",QZ001Q3A8,"Monarchism",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q3,"What system does the U.S. use to elect its president?",QZ001Q4A10,"Popular Vote Only",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q3,"What system does the U.S. use to elect its president?",QZ001Q4A11,"Rock-Paper-Scissors",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q3,"What system does the U.S. use to elect its president?",QZ001Q4A12,"The Senate Picks One at Random",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q3,"What system does the U.S. use to elect its president?",QZ001Q4A9,"Electoral College",TRUE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q4,"What philosopher is often credited as the father of modern political science?",QZ001Q5A13,"Niccolò Machiavelli",TRUE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q4,"What philosopher is often credited as the father of modern political science?",QZ001Q5A14,"Socrates",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q4,"What philosopher is often credited as the father of modern political science?",QZ001Q5A15,"Karl Marx",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q4,"What philosopher is often credited as the father of modern political science?",QZ001Q5A16,"Sun Tzu",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q5,"What is the role of a lobbyist in politics?",QZ001Q6A17,"Influencing lawmakers on behalf of interest groups",TRUE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q5,"What is the role of a lobbyist in politics?",QZ001Q6A18,"Greeting people in hotel lobbies",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q5,"What is the role of a lobbyist in politics?",QZ001Q6A19,"Organizing protests",FALSE
QZ001,"A quiz on political concepts and government structure.",,,,,QZ001Q5,"What is the role of a lobbyist in politics?",QZ001Q6A20,"Hosting political game shows",FALSE
QZ002,"A quiz on fundamental economic concepts.",Failure,""You miscalculate basic supply and demand, suggesting gold should be cheaper than bread."","I07","None",,,,
QZ002,"A quiz on fundamental economic concepts.",Success,"You can now explain inflation. Your bank account? Not so much.","I13","T018",,,,
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q1,"What is GDP?",QZ002Q2A1,""Gross Domestic Product, a measure of a country's economic performance"",TRUE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q1,"What is GDP?",QZ002Q2A2,"General Development Plan",FALSE
QZ002,"A quiz on fundamental economic concepts.",,,,,QZ002Q1,"What is GDP?",QZ002Q2A3,"Government Debt Policy",FALSE
